Exchange,Index,Symbol_File,Date,Open,High,Low,Close
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-01-03,37673.25,37725.5,37559.75,37606.05
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-01-04,37687.6,37842.65,37477.75,37800.35
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-01-05,37798.7,37941.4,37690.7,37910.95
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-01-06,37704.25,37786.25,37427.95,37622.5
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-01-07,37649.2,37909.1,37644.7,37864.45
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-01-10,38012.2,38174.6,37904.85,37984.05
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-01-11,38039.9,38111.35,37781.65,37849.9
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-01-12,37976.85,38026.55,37821.2,37992.95
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-01-13,38092.3,38141.05,37922.35,38087.25
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-01-14,38080.0,38124.4,37784.0,37816.0
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-01-17,37850.15,38092.15,37633.15,37988.9
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-01-18,38085.35,38218.15,37439.55,37503.15
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-01-19,37491.7,37508.9,37036.65,37106.4
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-01-20,37216.8,37317.25,36530.0,36681.4
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-01-21,36633.65,36993.95,36502.95,36812.9
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-01-24,36838.65,36880.7,35783.25,35941.35
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-01-25,35849.25,36443.25,35366.55,36382.85
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-01-27,36093.7,36228.45,35689.2,35966.8
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-01-28,36033.75,36552.3,36033.05,36188.3
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-01-31,36361.45,36669.8,36351.75,36467.25
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-02-01,36720.05,37231.35,36533.7,37183.8
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-02-02,37482.15,37609.5,37274.85,37581.5
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-02-03,37570.2,37699.7,37338.7,37467.2
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-02-04,37662.5,37712.25,37210.7,37508.4
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-02-07,37468.4,37591.05,36595.2,36764.95
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-02-08,36848.95,36890.8,36555.35,36765.95
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-02-09,36907.95,36936.45,36709.25,36852.85
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-02-10,36836.15,37043.1,36515.2,36982.55
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-02-11,36874.05,36877.15,36407.65,36671.65
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-02-14,35988.05,36027.3,35556.1,35661.25
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-02-15,35845.0,36528.95,35683.6,36438.7
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-02-16,36510.45,36698.75,36274.6,36460.75
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-02-17,36526.15,36653.65,36320.15,36571.7
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-02-18,36439.2,36662.95,36370.1,36498.7
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-02-21,36291.1,36400.15,36055.35,36200.3
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-02-22,35713.4,35946.2,35561.8,35879.85
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-02-23,36005.7,36108.15,35865.0,35933.1
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-02-24,34984.95,35452.75,34608.65,34735.15
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-02-25,35057.65,35465.8,34934.05,35292.55
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-02-28,35150.55,35593.85,34623.55,35515.4
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-03-02,35187.6,35427.35,35035.55,35364.45
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-03-03,35494.1,35555.85,34955.55,35019.6
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-03-04,34788.8,34854.15,34136.5,34627.85
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-03-07,33960.1,34072.6,33407.55,33657.45
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-03-08,33495.8,34044.5,33462.4,34006.9
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-03-09,34192.15,34615.55,33963.2,34486.95
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-03-10,35050.95,35587.1,34966.75,35530.3
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-03-11,35519.95,35655.45,35255.6,35613.65
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-03-14,35654.3,35654.3,35237.85,35589.4
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-03-15,35534.3,35985.45,35438.3,35649.95
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-03-16,35978.95,36338.2,35769.55,36273.6
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-03-17,36605.85,36822.4,36513.85,36782.7
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-03-21,36843.85,36869.25,36085.15,36149.35
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-03-22,36118.65,36148.8,35382.8,35887.05
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-03-23,36126.35,36136.75,35751.3,35789.85
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-03-24,35714.2,36029.35,35634.25,35797.15
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-03-25,35907.95,35924.55,35314.85,35522.75
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-03-28,35632.55,35723.5,35264.9,35659.45
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-03-29,35736.25,35853.05,35555.05,35640.15
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-03-30,35831.75,36029.35,35754.75,35858.25
